Pipeline created from /mnt/ufs18/home-119/llorente/blk/projection_movie.pipe
Runtime: 0:00:00.011472
Cache set to : /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache
  Segment  Name                         Hashcode                          Dependencies                 Save Action    Always run    Output File
        1  static_projection[49]        2429b66f9144e3b737be727df4514f0d  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/2429b66f9144e3b737be727df4514f0d
        1  static_projection[50]        41277ec7393c529caf43bc43f0d72a13  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/41277ec7393c529caf43bc43f0d72a13
        1  static_projection[51]        298a79f5aaefc96b28657f0afb98330f  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/298a79f5aaefc96b28657f0afb98330f
        1  static_projection[52]        ffeb138c549692899ef9d6baf4670158  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/ffeb138c549692899ef9d6baf4670158
        1  static_projection[53]        d30e16aaf7a213723c5c8bd6b25c085c  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/d30e16aaf7a213723c5c8bd6b25c085c
        1  static_projection[54]        5f7067504195772c4308871ba55758c0  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/5f7067504195772c4308871ba55758c0
        1  static_projection[55]        f8f162525ff94c9525fc001bbc05be99  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/f8f162525ff94c9525fc001bbc05be99
        1  static_projection[56]        66574058f7c460dee0076a585fdbbc6a  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/66574058f7c460dee0076a585fdbbc6a
        1  static_projection[57]        174a5f7c80896f554464794598ccea15  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/174a5f7c80896f554464794598ccea15
        1  static_projection[58]        f233a079528fdda25f9a5dea0154f5cd  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/f233a079528fdda25f9a5dea0154f5cd
        1  static_projection[59]        b2af3f87e2e8e680e8014219d8a2f9a1  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/b2af3f87e2e8e680e8014219d8a2f9a1
        1  static_projection[60]        750f16a9418f51b6403dac6ac2291ecd  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/750f16a9418f51b6403dac6ac2291ecd
